Table_name,Table_description,Table_columns(Data type),Primary_key,Table_category,Description_verified
alarm_master,"Master/configuration table (relatively static reference data). Key fields: ALARM_ID, ALARM_CODE, ALARM_SOURCE, ALARM_DESCRIPTION, ALARM_TYPE, BYPASS.","ALARM_ID(int), ALARM_CODE(varchar(5)), ALARM_SOURCE(varchar(15)), ALARM_DESCRIPTION(varchar(255)), ALARM_TYPE(enum('MAINTENANCE','NORMAL','MANUAL','PSEUDO')), BYPASS(tinyint(1)), RECOVERY(tinyint(1)), AUTO_RECOVERY(tinyint(1)), NON_RECOVERY(tinyint(1)), ALARM_RESOLUTION_STEPS(longtext), IS_ACTIVE(tinyint(1)), INSERTED_ON(datetime(3)), INSERTED_BY(varchar(100)), UPDATED_ON(datetime(3)), UPDATED_BY(varchar(100))",ALARM_ID,config_master,YES
alarm_master_copy,"Schema-based summary for 'alarm master copy'. Key fields: ALARM_ID, ALARM_CODE, ALARM_SOURCE, ALARM_DESCRIPTION, ALARM_TYPE, BYPASS.","ALARM_ID(int), ALARM_CODE(varchar(5)), ALARM_SOURCE(varchar(15)), ALARM_DESCRIPTION(varchar(255)), ALARM_TYPE(enum('MAINTENANCE','NORMAL')), BYPASS(tinyint(1)), RECOVERY(tinyint(1)), AUTO_RECOVERY(tinyint(1)), NON_RECOVERY(tinyint(1)), ALARM_RESOLUTION_STEPS(longtext), IS_ACTIVE(tinyint(1)), INSERTED_ON(datetime(3)), INSERTED_BY(varchar(100)), UPDATED_ON(datetime(3)), UPDATED_BY(varchar(100))",ALARM_ID,config_master,YES
api_master,"Master/configuration table (relatively static reference data). Key fields: API_ID, API_NAME, API_ALIAS_NAME, API_ENV, DSB_OPERATION_TYPE, DSB_TABLE_TO_FETCH.","API_ID(bigint), API_NAME(varchar(200)), API_ALIAS_NAME(varchar(200)), API_ENV(enum('PROD','UAT')), DSB_OPERATION_TYPE(enum('PICK','PUT','CYCLE_COUNT','INVENTORY_SNAPSHOT','SKU_MASTER')), DSB_TABLE_TO_FETCH(enum('wcs_to_wms_payload','wms_to_wcs_payload')), API_DOMAIN(varchar(200)), API_ENDPOINT(varchar(100)), API_HEADER(varchar(500)), API_TOKEN(varchar(2000)), API_TYPE(varchar(50)), API_DESCRIPTION(varchar(1000)), IS_ACTIVE(tinyint), LAST_FETCHED_TIMESTAMP(datetime(3)), INSERT_TIMESTAMP(datetime(3)), INSERTED_BY(varchar(100)), UPDATE_TIMESTAMP(datetime(3)), UPDATED_BY(varchar(100))",API_ID,config_master,YES
article_proximity_score,"Schema-based summary for 'article proximity score'. Key fields: SCORE_ID, PARENT_ARTICLE_ID, CHILD_ARTICLE_ID, PROXIMITY_SCORE.","SCORE_ID(bigint), PARENT_ARTICLE_ID(varchar(200)), CHILD_ARTICLE_ID(varchar(200)), PROXIMITY_SCORE(decimal(10,3))",SCORE_ID,general_table,YES
article_registered,"Schema-based summary for 'article registered'. Key fields: SKU_ID, SKU_NAME, CATEGORY, MIN_SLOT_SIZE, MAX_BIN_QUANTITY, MIN_SPLIT_LOCATION.","SKU_ID(varchar(200)), SKU_NAME(varchar(200)), CATEGORY(int), MIN_SLOT_SIZE(int), MAX_BIN_QUANTITY(int), MIN_SPLIT_LOCATION(int), MAX_BIN(int), MAX_STORAGE_QUANTITY(int), VELOCITY(int), WEIGHT_OF_EACH_ARTICLE(int), VOLUME_OF_EACH_ARTICLE(int), IMAGE_URL(varchar(1000))",SKU_ID,general_table,YES
articles_registered,Schema-based summary for 'articles registered'. Key fields: ARTICLE_ID.,ARTICLE_ID(varchar(200)),ARTICLE_ID,general_table,YES
auto_calibration_logs,"Log/audit table recording events or state changes. Key fields: ID, BOT_ID, COMPLETED_TIMESTAMP.","ID(int), BOT_ID(varchar(200)), COMPLETED_TIMESTAMP(timestamp(3))",ID,log_table,YES
bin_info_master,"Bin/tote master: identity + attributes for each bin (size/type/segment, current status). Often joins to inventory and order allocation. Key fields: BIN_ID, BIN_BARCODE, BIN_TYPE, BIN_SEGMENTS.","BIN_ID(int), BIN_BARCODE(varchar(200)), BIN_TYPE(enum('SEGMENT','VIRTUAL_BIN')), BIN_SEGMENTS(int)",BIN_ID,bin_master,YES
bin_loading_wave_order_master,"Master/configuration table (relatively static reference data). Key fields: BIN_LOADING_ORDER_ID, BIN_ID, BIN_BARCODE, BIN_SEGMENT_NO, WAVE_ID, BIN_TYPE.","BIN_LOADING_ORDER_ID(char(36)), BIN_ID(varchar(200)), BIN_BARCODE(varchar(200)), BIN_SEGMENT_NO(int), WAVE_ID(varchar(200)), BIN_TYPE(varchar(200)), STATUS(enum('PENDING','BIN_REGISTRATION_STARTED','BIN_REGISTRATION_COMPLETED','BIN_MOVED')), STATION_ID(int), UPDATED_BY(varchar(200)), UPDATED_TIMESTAMP(datetime(3)), INSERTED_TIMESTAMP(datetime(3)), ORDER_BIN_ID(int)",BIN_LOADING_ORDER_ID,wave_master,YES
bin_recall_wave_wms_data_dsb_temp,"Schema-based summary for 'bin recall wave wms data dsb temp'. Key fields: BIN_RECALL_ORDER_ID, WAVE_ID, BIN_ID, STATUS.","BIN_RECALL_ORDER_ID(int), WAVE_ID(varchar(200)), BIN_ID(int), STATUS(enum('PENDING','PROCESSING','COMPLETED','CANNOT_PROCESS'))",BIN_RECALL_ORDER_ID,transaction_table,YES
